,fraction,value
125,0.00947022719841282,1.0388951825224009
126,0.008254024554319978,1.0732173495310944
127,0.007345526850008585,1.1075395165397879
128,0.006090675231289908,1.1418616835484814
129,0.010146583788703428,1.176183850557175
130,0.0067482027981221725,1.2105060175658684
131,0.005754231525297128,1.244828184574562
132,0.005857790921487264,1.2791503515832554
133,0.005995291920023269,1.313472518591949
134,0.006441736517977158,1.3477946856006424
135,0.006426623939089632,1.382116852609336
136,0.004766949480170343,1.4164390196180294
137,0.003609958957652689,1.450761186626723
138,0.0038257488331495133,1.4850833536354164
139,0.005527788245603939,1.51940552064411
140,0.004139647536774648,1.5537276876528034
141,0.0035054086337534063,1.588049854661497
142,0.0032551814592253793,1.6223720216701905
143,0.003923609929350536,1.656694188678884
144,0.0041446026409819,1.6910163556875775
